"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Financial and insurance activities at current prices","Palau","US Dollar","12248883.73","12082463.13","9702052.032","10377986.33","9867608.612","11241191.8","15001325.93","15896855.59","13781699.22","11099229.74","9957847.107","8800020.874","5641169.006","7667273.315","8369016.296","8567897.247","8244716.736","8637495.483","8896001.221","9256318.024","9460177.032","9296996.155","8108210.297","9464808.777","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","Bureau of Budget and Planning (formerly Office of Planning and Statistics)",""
"Financial and insurance activities at current prices","Papua New Guinea","Papua New Guinea Kina","395600000","406700000","407000000","422900000","415200000","488700000","657924676.5","879237226.2","926572445","968793621.9","1388982504","1647817645","1999251971","2340085875","2082851977","1855494352","1881399206","1951376382","2076011257","2055365450","1919453657","1997593249","2176368002","2331300000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","2000–2022: National Statistical Office. 2023: Departments of Treasury (formerly Department of Finance and Treasury).","For 2000–2005: Refers to financing, insurance, real estate, and business services including services of owner-occupied dwellings. For 2006–2022: Compiled using new data sources and methods and are not comparable with estimates prior to 2006. For 2023: Data are taken from the 2024 National Budget Volume 1 of the Department of Treasury of PNG, which provides estimates or projections based on the actual National Accounts data from the NSO."
"Financial and insurance activities at current prices","Philippines","Philippine Peso","191405284400","215507960000","234807872500","260031210900","298287059900","352560086200","418982312200","468983430000","518049264200","560948345100","636283087900","692889382200","769803681300","892657839000","1005738644000","1087980508000","1193651482000","1326582521000","1498146708000","1681870098000","1823978722000","1963148399000","2224674783000","2565381456000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Philippine Statistics Authority","For 2000–2023: Data are based on the 2018 base year, following the revision and rebasing of the National Accounts of the Philippines series."
"Financial and insurance activities at current prices","Samoa","Western Samoa Tala","58074730","65123990","74423150","83474220","92829770","101384880","111393640","126518521.5","120843941.4","193720739.5","210442230.3","219350782.5","204326204.2","194614745.6","207862871.5","229676462","248571883.7","256345001","287305829.1","303040434.4","317903548.2","320849081.7","355529061.1","384175946.17224","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Samoa Bureau of Statistics (formerly Statistical Services Division)","For 2007–2023: The overall system for estimating GDP at current and constant prices underwent methodological changes. These include: (i) update of base year for constant price estimates to 2013; (ii) incorporation of latest benchmarks; (iii) upgrade of the International Standard Industrial Classification (ISIC) classification from ISIC Revision 3.1 to ISIC Revision 4; (iv) increased reliance on summary data from the value-added goods and services tax system; and (v) incorporation of more detailed data on industry level. For a full explanation, see the national accounts report available on the Samoa Bureau of Statistics website at http://www.sbs.gov.ws. For 2009–2023: Refers to financial services."
"Financial and insurance activities at current prices","Singapore","Singapore Dollars","15598800000","16507600000","16690600000","16886900000","18539100000","19680300000","23508500000","29568600000","30190000000","31589800000","33987900000","35298400000","37722100000","42888300000","45966400000","49872200000","51523600000","56755800000","62586800000","68084400000","69257300000","74069000000","81477200000","87843500000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Singapore Department of Statistics",""
"Financial and insurance activities at current prices","Solomon Islands","Solomon Islands Dollars","...","...","...","28925682.91","48301144.02","89204376.73","140529349.8","177047727.9","229642308","200265114.4","164595917.8","191367270.5","228470019.5","262473597.9","284813002.1","295107934.4","296121767.8","380757821.5","432344275.1","452975541.4","383304824.5","400600000","275200000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistics Office","For 2003–2011: No rebalancing had been carried out on estimates from 2003 to 2011, and therefore the GDP series by industry structure for this period do not add up. For 2003–2020: There are changes in basic concepts in line with the changing of the base year to 2012 and a closer consistency with the System of National Accounts 2008. Improvements to methodologies, data sources, concepts, and revisions to benchmark estimates have been implemented. For 2021–2022: SINSO reflected revisions to 2020 and past years arising from methodological improvements and the population census to the current revised GDP estimates. Any methodological changes made for the current measures have been chained to 2020 levels to avoid distorting the growth rates."
"Financial and insurance activities at current prices","Sri Lanka","Sri Lankan Rupee","92607000000","106462000000","130465000000","153869000000","178119000000","205322000000","266972000000","328157882000","413322300000","499303900000","346285888100","285338916100","363075542900","393324240700","430014086400","451495024300","511182521400","648318696600","675151633700","740511616400","890111328600","1120638196000","1687303105000","2165247223000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Department of Census and Statistics",""
"Financial and insurance activities at current prices","Taipei,China","New Taiwan Dollar","843787000000","826105000000","836876000000","813491000000","865702000000","907438000000","900850000000","942335000000","910720000000","795150000000","867976000000","909011000000","931028000000","970475000000","1054084000000","1099345000000","1124827000000","1178408000000","1228512000000","1276043000000","1330092000000","1468891000000","1444334000000","1506293000000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Directorate-General of Budget, Accounting, and Statistics",""
"Financial and insurance activities at current prices","Tajikistan","Tajikistani Somoni","17800000","21700000","31900000","47300000","62200000","81100000","140000000","255500000","343100000","438700000","513600000","425700000","511100000","659600000","668500000","2197500000","1091700000","1994400000","2078900000","1925100000","2157100000","2055700000","4066600000","845630000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Statistical Agency under President of the Republic of Tajikistan","For 2000–2014: Based on the 1993 System of National Accounts. For 2015–2023: Based on the 2008 System of National Accounts."
"Financial and insurance activities at current prices","Thailand","Thai Baht","193216000000","230984000000","276618000000","317142000000","367355000000","417104000000","448545000000","492920000000","523522000000","553900000000","580532000000","644682000000","744615000000","871377000000","961263000000","1037966000000","1120954000000","1181246000000","1240877000000","1267132000000","1289551000000","1347409000000","1456437000000","1643220000000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Economic and Social Development Council",""
"Financial and insurance activities at current prices","Timor-Leste","US Dollar","2852433","6083009.74","6206437.56","5690022.253","4973046.461","4290757.688","4325411.112","3495749.563","3188742.95","2704883.26","3386238.765","7509625.956","8924748.66","11233919.97","12468274","11901054.56","14328372.38","23430103.54","21968829","31836022.42","25513021.15","22135089.78","39364580.57","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Institute of Statistics Timor-Leste","For 2019–2020: Oil revenue from the Joint Petroleum Development Area is now included in GDP based on the new Timor-Leste Australia Maritime Boundary Treaty."
"Financial and insurance activities at current prices","Tonga","Tongan Pa'anga","19025929.78","20710583.59","25903782.12","27942369.5","32257028.08","38126906.08","43608856.26","45530317.86","51372024.65","44034299.15","43359774.33","47519712.86","48213745.64","46287987.79","47550300.82","43653487.37","46635596.2","48000121.1","51641973.73","58500607.08","60325906.19","57919708.76","55008176.27","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Tonga Department of Statistics (formerly Tonga Statistics Department)",""
"Financial and insurance activities at current prices","Turkmenistan","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Financial and insurance activities at current prices","Tuvalu","Australian Dollar","2893658.28","2822717.04","3518589.44","3243755.56","2795785.89","2540948.5","2840121.32","2798183.57","3610380.64","3667511.64","3585897.08","3880032.56","3937584.18","3883116.57","4113652.1","4588239.72","4674923","3905111.9","5310756","5324661","6298206","7620083.397","8069525","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Central Statistics Division",""
"Financial and insurance activities at current prices","Uzbekistan","Uzbekistani Sum","...","...","...","...","...","...","...","...","...","...","1555293300000","2111851100000","2655441900000","3448067500000","4092512800000","5026106100000","5577430100000","9230303500000","10217171900000","13860932700000","22011064100000","20157361700000","33778006300000","44111125700000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Statistics Agency under the President of the Republic of Uzbekistan","For 2010–2023: Data may not be comparable with data prior to 2010 due to improvements in methodology in accordance with international standards."
"Financial and insurance activities at current prices","Vanuatu","Vanuatu Vatu","2105900000","2644700000","2397000000","3011000000","3192000000","3827000000","4214000000","4113000000","5202000000","4354000000","4307000000","5011000000","4842000000","4944000000","5470000000","6776000000","7133000000","5963000000","6455000000","6834000000","7013000000","8074000000","...","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Vanuatu Bureau of Statistics",""
"Financial and insurance activities at current prices","Viet Nam","Vietnamese Dong","8148000000000","8761993170000","9763000000000","10857610370000","12737430490000","47825000000000","55869000000000","65861000000000","86356000000000","1.00324E+14","1.2305171E+14","1.5592092E+14","1.783774E+14","2.0105365E+14","2.1436469E+14","2.3214209E+14","2.5157089E+14","2.7688523E+14","3.0514374E+14","3.3824538E+14","3.5769655E+14","4.0167789E+14","4.5607353E+14","5.013186047E+14","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","General Statistics Office","For 2000–2009: GDP data are based on unreassessed/unreevaluated scale. For 2010–2023: GDP data are based on the reevaluated scale."
"Mining and quarrying at current prices","Afghanistan","Afghan Afghani","...","...","263923247","290253340.7","637958679.1","879942613.9","1223992196","2213457642","2480964307","2921467810","4473385214","10395306500","10065918840","9325204187","8755937221","8608571711","16597356810","18274361640","25421171370","27753800910","23423155453.982","23469111680","26616433030","35140549170","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Beginning 21 March","","2002–2015: National Statistics and Information Authority. 2016–2023: Asian Development Bank.","For 2016–2023: There are changes in basic concepts in line with the changing of the base year to 2016 producer's prices and the adoption of the System of National Accounts 2008."
"Mining and quarrying at current prices","Armenia","Armenian Dram","7905300000","9856700000","15585500000","22347500000","61949100000","71503800000","68541100000","70943300000","55490800000","52252500000","89251200000","102846500000","115677700000","102686800000","102553200000","107717500000","130835200000","185510300000","169794800000","212868300000","239209800000","386785100000","334741000000","278824600000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Statistical Committee of the Republic of Armenia","For 2000–2011: Estimates are based on the 1993 System of National Accounts. For 2012–2023: Estimates are based on the 2008 System of National Accounts."
"Mining and quarrying at current prices","Australia","Australian Dollar","28068000000","35467000000","36649000000","36662000000","34496000000","46516000000","65987000000","77008000000","83781000000","115293000000","95986000000","132029000000","134450000000","118276000000","134035000000","107939000000","96831000000","133477000000","150340000000","191864000000","203552000000","224142000000","316846000000","344351000000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Australian Bureau of Statistics",""
"Mining and quarrying at current prices","Azerbaijan","Azerbaijan Manat","1304500000","1576000000","1751300000","1968000000","2476500000","5283900000","9534000000","15219200000","21164500000","15090400000","19482200000","24980000000","23570100000","22790200000","20222300000","14370200000","18557000000","24039400000","31041400000","28846800000","19248200000","32650000000","60143100000","41082200000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","State Statistical Committee of the Republic of Azerbaijan","For 2000–2009: Estimates are based on the 1993 System of National Accounts (SNA). For 2010–2023: Transition to the 2008 SNA began, although a global revision of the GDP and sectoral accounts series according to the 2008 SNA has yet to be fully implemented."
"Mining and quarrying at current prices","Bangladesh","Bangladeshi Taka","23100000000","26400000000","30000000000","33100000000","36400000000","40400000000","70091940000","78663270000","91098880000","109624560000","126449430000","142084160000","166504320000","194610580000","210799000000","238757000000","330526000000","399842000000","442760000000","526098000000","552239000000","591020885900","589162151100","702435536200","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Bangladesh Bureau of Statistics","For 2000–2015: Estimates of GDP at current prices used the 2005/2006 base year. For 2016–2023: Estimates of GDP at current prices were rebased using the 2015/2016 base year, reflecting more comprehensive coverage of economic activities and methodological changes."
"Mining and quarrying at current prices","Bhutan","Bhutanese Ngultrum","276293160.1","317124136.9","401080244","509502790.5","385682276.7","482408047.8","770138967.7","781261944.8","1098463400","1221331380","1418625541","1703627025","1721380146","2451117218","2962398361","3934396232","5663549842","6101839722","4089727568","4935297121","2467119277","3878047109","4080756741","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistics Bureau",""
"Mining and quarrying at current prices","Brunei Darussalam","Brunei Dollar","4619119680","4009222430","4223038600","5079544080","6742339390","8868047390","10768400000","10603700000","11672000000","7389700000","9574520040","12756673710","12655871480","11423716750","10634767940","7737014240","6668719890","7299287650","8362526320","8343602840","6514833930","7667605800","9899591860","8111977100","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Department of Economic Planning and Statistics",""
"Mining and quarrying at current prices","Cambodia","Kampuchean Riel","33544490000","39822010000","47708310000","57863410000","73774040000","96740630000","114842580000","134903270000","164581980000","195852560000","279481600000","329697580000","438917120000","541376220000","774899780000","983230910000","1238756660000","1494745730000","1803634930000","2268323339000","2779915836000","3573686694000","4457459413000","5338416224000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Institute of Statistics",""
"Mining and quarrying at current prices","China, People's Republic of","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Mining and quarrying at current prices","Cook Islands","New Zealand Dollar","7203701.57","8533418.04","10004970.28","10357018.79","10857058.84","10632947.98","8664566.13","9858912.238","8865015.564","9012618.623","7818999.76","8844182.664","8735285.986","8299345.091","7640399.092","9137761.796","9398080.2463768","11083233.131884","11322158.407106","11660580.006308","11812405.84","18096155.36","10947757.565587","11148546.588","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Cook Islands Statistics Office","For 2000–2005: Taxes on products are distributed among the GDP components. For 2000–2023: Include manufacturing. For 2006–2023: Taxes on products are measured separately from GDP components."
"Mining and quarrying at current prices","Fiji","Fijian Dollar","29700000","29300000","32300000","35800000","46300000","16551000","9667000","-9210000","19875582.58","44690059.5","64135145.57","89976989.65","87796261.55","58700564.18","64199817.15","69097435.52","83935541","74829678.66","61986428.33","80065401.43","104700000","70800000","60100000","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Bureau of Statistics","For 2005, 2008, 2011, and 2014: Figures are current basic prices."
"Mining and quarrying at current prices","Georgia","Georgian Lari","40886470","37944020","49474620","75285090","77016530","91348750","138755420","139153840","128915380","123256880","146000000","173000000","187000000","142000000","175000000","300000000","337000000","377000000","363000000","506000000","706000000","701000000","803000000","724000000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","National Statistics Office (formerly Department of Statistics)","For 2010–2023: GeoStat revised the data of Gross Domestic Product (GDP) and National Accounts on February 2024. Data revision includes the historical series since 2010.  The base year  was changed from 2015 to 2019."
"Mining and quarrying at current prices","Hong Kong, China","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Mining and quarrying at current prices","India","Indian Rupee","505773417500","529886532600","694484273200","707042016300","937588151800","1105328696000","1289989589000","1492104211000","1639616506000","1932627273000","2513030297000","2610350000000","2858420000000","2957940000000","3084760000000","2940110000000","3268080000000","3361091338000","3776610832000","3570007169000","3241400923000","4393391916000","4946019171000","5258810881000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","National Statistical Office",""
"Mining and quarrying at current prices","Indonesia","Indonesian Rupiah","1.676922E+14","1.818395E+14","1.609214E+14","1.675723E+14","2.05252E+14","3.090141E+14","3.665208E+14","4.406096E+14","5.413343E+14","5.92061E+14","7.181286E+14","9.248134E+14","1.0003076E+15","1.0507458E+15","1.039423E+15","8.816941E+14","8.908683E+14","1.0295546E+15","1.1989871E+15","1.1499135E+15","9.935419E+14","1.5236501E+15","2.3933909E+15","2.1980181E+15","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","BPS Statistics Indonesia","For 2010–2023: Data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010."
"Mining and quarrying at current prices","Japan","Japanese Yen","611300000000","601300000000","520500000000","492800000000","411700000000","410600000000","400500000000","395200000000","354900000000","292800000000","312200000000","321100000000","309200000000","360500000000","398700000000","409200000000","364200000000","385600000000","383800000000","382700000000","383100000000","364600000000","446500000000","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Economic and Social Research Institute",""
"Mining and quarrying at current prices","Kazakhstan","Kazakhstani Tenge","339075200000","371470700000","457704400000","557748600000","799555000000","1198887400000","1646628000000","1934762200000","3003647400000","3036305600000","4249267900000","5003252900000","5288740500000","5477694000000","5982772000000","5170567700000","6047727300000","7421694400000","9204650000000","10032109500000","8596835500000","11886878400000","15210887200000","15519395600000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Agency for Strategic Planning and Reforms of the Republic of Kazakhstan","For 2011–2023: Estimates are in accordance with the 2008 System of National Accounts, where financial intermediation services indirectly measured are no longer compiled as a notional industry. For 2017–2023: Calculations were made in accordance with the new methodology for assessing the unobserved economy, registered in the Ministry of Justice of the Republic of Kazakhstan No.19215 of 08.08.2019."
"Mining and quarrying at current prices","Kiribati","Australian Dollar","159466.31338265","147212.71822461","149266.26496301","137810.98856759","97349.885675857","96870.100874243","142692.66215557","145674.62047867","145365.11349465","147042.47354876","168945.02524467","209793.83585212","280736.8737829","518480.15998897","510401.43854048","1052020.29","1266128.57","800587.97","1094806.12","589879","887836.61","867082.5","1383627","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Kiribati National Statistics Office",""
"Mining and quarrying at current prices","Korea, Republic of","Korean Won","1602100000000","1600200000000","1675200000000","1632600000000","1679500000000","1854100000000","1786200000000","1823400000000","2009000000000","2005000000000","1947400000000","1956300000000","1911700000000","2102300000000","2088500000000","2144800000000","2367700000000","2348800000000","2128200000000","2008900000000","1857200000000","1868300000000","1836700000000","2302600000000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Bank of Korea","For 2000–2023: Aggregates for GDP were revised as a result of the implementation of the System of National Accounts 2008."
"Mining and quarrying at current prices","Kyrgyz Republic","Kyrgyzstani Som","351500000","377400000","362900000","409500000","609700000","556400000","488700000","643700000","1001700000","1072300000","1384800000","2168800000","2724500000","2546200000","2616600000","3323700000","3056000000","5073100000","5810700000","11334600000","6773900000","21149500000","18361000000","22062100000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistical Committee of the Kyrgyz Republic",""
"Mining and quarrying at current prices","Lao People's Democratic Republic","Lao Kip","25932720000","32128910000","45098000000","561996000000","507808000000","1674793000000","4543713000000","4245306000000","4595013000000","3289385000000","5157997000000","6833713000000","9378901840000","8853104290000","9170377040000","7967470810000","8391071540000","9234644160000","9159743950000","9250668000000","7897165180000","8159184650000","8544033380000","9011842090000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Lao Statistics Bureau (formerly Department of Statistics)",""
"Mining and quarrying at current prices","Malaysia","Malaysian Ringgit","37617000000","33945000000","34169000000","41918000000","56881000000","72111000000","81759000000","88332000000","120170000000","81342000000","89793000000","95905000000","101474000000","103484000000","109064000000","103059350000","103958504000","121325739000","134833238000","131083844000","96171783000","124355070000","176870302000","155516329000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Department of Statistics",""
"Mining and quarrying at current prices","Maldives","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Mining and quarrying at current prices","Marshall Islands","US Dollar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","Economic Policy, Planning, and Statistics Office (formerly Office of Planning and Statistics)","For 2000–2021: Excludes shore-based fish processing and vessel support services."
"Mining and quarrying at current prices","Micronesia, Federated States of","US Dollar","0","0","0","0","0","0","0","0","0","0","0","0","0","3410.88","1304.92","0","0","0","0","...","...","...","...","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","FSM Statistics Division",""
"Mining and quarrying at current prices","Mongolia","Mongolian Tugrik","132400099800","117076116600","144753697200","206557836400","391597569900","642089043400","1145733908000","1340854372000","1324247705000","1285899698000","2102157940000","2536239600000","2742750500000","2849415300000","3661031200000","4150464287000","4822677543000","7007876154000","8370789173000","9590129544000","8722066600000","10753722633000","12402469001000","19439076136000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","2000–2009: 2005. 2010–2014: 2010. 2015–2023: 2015.","National Statistics Office of Mongolia",""
"Mining and quarrying at current prices","Myanmar","Myanmar Kyat","15032000000","17334000000","25163000000","34583000000","57453000000","89469000000","121940000000","205344000000","254408000000","331351000000","366428000000","2710693000000","3164151000000","3467620000000","4797493000000","4447498000000","3921385600000","4045149800000","4500158600000","5712742200000","5381595100000","4079801000000","...","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","Central Statistical Organization",""
"Mining and quarrying at current prices","Nauru","Australian Dollar","...","...","...","...","225000","80000","47000","118000","793000","1370000","1165000","2543000","1971000","1431000","1330000","-1376000","...","...","...","...","...","...","...","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Nauru Bureau of Statistics (Ministry of Finance)","For 2004–2015: Data were taken from the national accounts tables published on the Nauru Bureau of Statistics website."
"Mining and quarrying at current prices","Nepal","Nepalese Rupee","1815000000","1817089588","2148914884","2310442479","2506638791","2748158136","3133559401","3417000000","4375000000","5084000000","5926000000","8524786990","9979349113","10566553570","12096256690","12746189130","13581911420","15667999930","18449546800","21998661750","20442868160","20448332190","23253570320","24185140150","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 15 July","","Central Bureau of Statistics","For 2000–2010: Estimates of GDP by industrial origin are based on the 1993 System of National Accounts (SNA) framework. For 2011–2023: Estimates of GDP are based on the 2008 SNA where industrial classification is based on the International Standard Industrial Classification of all economic activities, Revision 4 (ISIC Rev.4)."
"Mining and quarrying at current prices","New Zealand","New Zealand Dollar","1382000000","1423000000","1477000000","1324000000","1533000000","1800000000","2051000000","3791000000","4238000000","4132000000","4185000000","4006000000","3741000000","3579000000","3584000000","2380000000","2486000000","2837000000","2962000000","2854000000","2222000000","2450000000","...","...","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","Stats NZ Tatauranga Aotearoa","For 2000–2019: Refers to mining."
"Mining and quarrying at current prices","Niue","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Mining and quarrying at current prices","Pakistan","Pakistan Rupee","109523000000","132972000000","150532000000","176615000000","216390000000","216488000000","285481000000","331686000000","375077000000","459762000000","549269000000","547196000000","714406000000","759029000000","818983000000","786726000000","691258000000","706614000000","847753000000","1156829000000","1230493000000","1264280000000","1490198000000","1790947000000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Pakistan Bureau of Statistics (formerly Federal Bureau of Statistics)","For 2000–2015: Data are revised due to 2015/2016 rebasing of national accounts. For 2016–2023: Data are revised due to 2015/2016 rebasing of national accounts."
"Mining and quarrying at current prices","Palau","US Dollar","1415230.225","1439078.369","1287526.001","748556.335","846736.938","1193180.786","1212442.261","1034504.761","1160666.016","861142.883","632644.592","599517.639","710063.843","532625.549","713332.703","1104939.209","1260494.019","1567514.16","1352347.412","1520608.521","1323183.838","1503387.329","1726997.681","1265229.614","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","Bureau of Budget and Planning (formerly Office of Planning and Statistics)",""
"Mining and quarrying at current prices","Papua New Guinea","Papua New Guinea Kina","2463500000","2401100000","2365000000","2925500000","3199500000","4061700000","6793928954","7230246897","7953538135","6110203074","7905629510","7954296197","6254826827","6478242477","11958658710","14516534480","15520215350","19382348130","22125149380","23758413870","20041262280","23205976170","35533072340","29226200000","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","2000–2022: National Statistical Office. 2023: Departments of Treasury (formerly Department of Finance and Treasury).","For 2000–2023: Refers to oil and gas extraction; and mining and quarrying. For 2006–2022: Compiled using new data sources and methods and are not comparable with estimates prior to 2006. For 2023: Data are taken from the 2024 National Budget Volume 1 of the Department of Treasury of PNG, which provides estimates or projections based on the actual National Accounts data from the NSO."
"Mining and quarrying at current prices","Philippines","Philippine Peso","22911231880","22780019600","41337149020","52385898130","55474597630","71457669510","79480281080","98210172760","98567926360","110675717000","135401746700","151487405100","131766526800","126453489300","143880453600","119626469500","125897526000","148093882500","163322488600","161656373100","137060315300","185371038800","280249376100","232080237900","...","Mining and quarrying represents the economic activities of Section B Mining and quarrying (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Philippine Statistics Authority","For 2000–2023: Data are based on the 2018 base year, following the revision and rebasing of the National Accounts of the Philippines series."
"Mining and quarrying at current prices","Samoa","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Mining and quarrying at current prices","Singapore","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
