STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,ACTIVITY,Economic activity,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CZE,Czechia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,1357.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,DEU,Germany,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,4781.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,DNK,Denmark,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,3270.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,EGY,Egypt,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,33187.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ESP,Spain,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,1712,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,EST,Estonia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,242.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,FIN,Finland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,863.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,FRA,France,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,2167.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,GBR,United Kingdom,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,18260.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,GRC,Greece,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,880.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HKG,Hong Kong (China),B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,51.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HRV,Croatia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,185.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HUN,Hungary,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,177.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IDN,Indonesia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,67136.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IND,India,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,49273.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IRL,Ireland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,617.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ISL,Iceland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,20.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ISR,Israel,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,2843.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ITA,Italy,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,4163.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,JOR,Jordan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,957.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,JPN,Japan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,3252.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KAZ,Kazakhstan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2016,,18078,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SGP,Singapore,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,0,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ARG,Argentina,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,21187.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,AUS,Australia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,73436.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,AUT,Austria,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1323,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BEL,Belgium,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,267.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BGD,Bangladesh,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,2588.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BGR,Bulgaria,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1099.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BLR,Belarus,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,601.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BRA,Brazil,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,34865.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BRN,Brunei Darussalam,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,6821.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CAN,Canada,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,70623.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHE,Switzerland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,890.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHL,Chile,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,21723.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHN,China (People’s Republic of),B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,301000.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CIV,Côte d’Ivoire,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1270.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CMR,Cameroon,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1594.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,COL,Colombia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,17712.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CRI,Costa Rica,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,191.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CYP,Cyprus,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,30.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CZE,Czechia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1556,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,DEU,Germany,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,5469.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,DNK,Denmark,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,3667.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,EGY,Egypt,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,36640.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ESP,Spain,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1725.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,EST,Estonia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,282.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,FIN,Finland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,813.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,FRA,France,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,2273.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,GBR,United Kingdom,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,20429.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,GRC,Greece,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,968.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HKG,Hong Kong (China),B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,51.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HRV,Croatia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,247.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HUN,Hungary,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,178.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IDN,Indonesia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,66024.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IND,India,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,46460.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IRL,Ireland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,458.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ISL,Iceland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,16.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ISR,Israel,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,2751.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ITA,Italy,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,5002.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,JOR,Jordan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,971,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,JPN,Japan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,3283.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KAZ,Kazakhstan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,23681.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KHM,Cambodia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,155.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KOR,Korea,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1935.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LAO,Lao People’s Democratic Republic,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1800.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LTU,Lithuania,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,114.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LUX,Luxembourg,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,35,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LVA,Latvia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,126,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MAR,Morocco,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,2648.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MEX,Mexico,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,46840.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MLT,Malta,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,23.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MMR,Myanmar,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,2432.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MYS,Malaysia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,27767.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NGA,Nigeria,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,31839.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NLD,Netherlands,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,14560.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NOR,Norway,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,62968.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NZL,New Zealand,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1766.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PAK,Pakistan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,6432.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PER,Peru,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,15141.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PHL,Philippines,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,2974.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,POL,Poland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,7770.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PRT,Portugal,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,590.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ROU,Romania,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1768.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,RUS,Russia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,120939,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SAU,Saudi Arabia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,178011.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SEN,Senegal,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,526.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SVK,Slovak Republic,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,412,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SVN,Slovenia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,150.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SWE,Sweden,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1910.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,THA,Thailand,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,9582.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,TUN,Tunisia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1711.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,TUR,Türkiye,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,7487.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,TWN,Chinese Taipei,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,1160.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,UKR,Ukraine,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,4511.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,USA,United States,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2015,,255255.2,,6,Millions
